teamId,name
team1,Italy
team2,France
team3,Denmark
team4,England
team5,Thailand
team6,Australia
team7,Hong Kong
team8,New Zealand
team9,Singapore
team10,Malaysia
team11,Chinese Taipei
team12,Indonesia
team13,Japan
team14,Northern Ireland
team15,Finland
team16,Sweden
team17,Wales
team18,Norway
team19,Scotland
team20,Switzerland
team21,Netherlands
team22,India N
team23,Western Australia
team24,India S
team25,India
team26,Philippines
team27,Republic of Ireland
team28,Iceland
team29,Belgium
team30,Portugal
team31,Germany
team32,New Caledonia
team33,Fiji
team34,Hungary
team35,Spain
team36,China PR
team37,Nepal
team38,Czechoslovakia
team39,Bulgaria
team40,Papua New Guinea
team41,Poland
team42,North Korea
team43,Nigeria
team44,Ghana
team45,Canada
team46,Costa Rica
team47,Haiti
team48,Jamaica
team49,United States
team50,Mexico
team51,Martinique
team52,Trinidad and Tobago
team53,Brazil
team54,Chile
team55,Venezuela
team56,Guinea
team57,South Korea
team58,Cameroon
team59,Russia
team60,Greece
team61,Romania
team62,Yugoslavia
team63,Czech Republic
team64,Lithuania
team65,Latvia
team66,Ukraine
team67,Slovakia
team68,Slovenia
team69,Croatia
team70,South Africa
team71,Zambia
team72,Sierra Leone
team73,Angola
team74,Ecuador
team75,Bolivia
team76,Argentina
team77,Estonia
team78,Austria
team79,FR Yugoslavia
team80,Uzbekistan
team81,Faroe Islands
team82,Kazakhstan
team83,Turkey
team84,Belarus
team85,Guam
team86,Paraguay
team87,Uruguay
team88,Colombia
team89,Peru
team90,Mozambique
team91,Lesotho
team92,Eswatini
team93,Egypt
team94,Uganda
team95,Guatemala
team96,Honduras
team97,El Salvador
team98,Guyana
team99,Puerto Rico
team100,Samoa
team101,American Samoa
team102,Morocco
team103,DR Congo
team104,Nicaragua
team105,Bosnia and Herzegovina
team106,Israel
team107,Vietnam
team108,Gabon
team109,Réunion
team110,Algeria
team111,Zimbabwe
team112,Dominica
team113,Bahamas
team114,Dominican Republic
team115,Saint Lucia
team116,Ethiopia
team117,Mali
team118,Panama
team119,Suriname
team120,U.S. Virgin Islands
team121,Tanzania
team122,Eritrea
team123,Equatorial Guinea
team124,São Tomé and Príncipe
team125,Ivory Coast
team126,Senegal
team127,Serbia and Montenegro
team128,Armenia
team129,Cook Islands
team130,Myanmar
team131,Malta
team132,Congo
team133,Malawi
team134,Maldives
team135,Benin
team136,Namibia
team137,Togo
team138,Central African Republic
team139,Barbados
team140,Antigua and Barbuda
team141,Cayman Islands
team142,Netherlands Antilles
team143,Kenya
team144,Djibouti
team145,British Virgin Islands
team146,Bermuda
team147,Turks and Caicos Islands
team148,Aruba
team149,Saint Kitts and Nevis
team150,Saint Vincent and the Grenadines
team151,Grenada
team152,Georgia
team153,Luxembourg
team154,Azerbaijan
team155,Macedonia
team156,Tonga
team157,Solomon Islands
team158,Serbia
team159,Iran
team160,Tunisia
team161,Kyrgyzstan
team162,Jordan
team163,Palestine
team164,Botswana
team165,Anguilla
team166,Belize
team167,Cuba
team168,Vanuatu
team169,Tahiti
team170,Great Britain
team171,Bangladesh
team172,Bahrain
team173,Kuwait
team174,Lebanon
team175,Burkina Faso
team176,Rwanda
team177,Comoros
team178,Moldova
team179,Andorra
team180,Montenegro
team181,Albania
team182,Mauritius
team183,Libya
team184,Tajikistan
team185,Iraq
team186,United Arab Emirates
team187,Syria
team188,Kosovo
team189,Guadeloupe
team190,Curaçao
team191,Gambia
,
,
,
